school,sex,age,address,famsize,Medu,Fedu,Mjob,Fjob,reason,traveltime,studytime,failures,activities,higher,internet,romantic,famrel,freetime,goout,health,absences,G1,G2,G3
GP,F,18.0,U,GT3,4,4,at_home,teacher,course,2,2.0,0,no,yes,no,no,4,3,4,3,4,0.0,11.0,11
GP,F,17.0,U,GT3,1,1,at_home,other,course,1,2.0,0,no,yes,yes,no,5,3,3,3,2,9.0,11.0,11
GP,F,15.0,U,LE3,1,1,at_home,other,other,1,2.0,0,no,yes,yes,no,4,3,2,3,6,12.0,13.0,12
GP,F,15.0,U,GT3,4,2,health,services,home,1,3.0,0,yes,yes,yes,yes,3,2,2,5,0,14.0,14.0,14
GP,F,16.0,U,GT3,3,3,other,other,home,1,2.0,0,no,yes,no,no,4,3,2,5,0,11.0,13.0,13
GP,M,16.0,U,LE3,4,3,services,other,reputation,1,2.0,0,yes,yes,yes,no,5,4,2,5,6,12.0,12.0,13
GP,M,16.0,U,LE3,2,2,other,other,home,1,2.0,0,no,yes,yes,no,4,4,4,3,0,13.0,12.0,13
GP,F,17.0,U,GT3,4,4,other,teacher,home,2,2.0,0,no,yes,no,no,4,1,4,1,2,10.0,13.0,13
GP,M,15.0,U,LE3,3,2,services,other,home,1,2.0,0,no,yes,yes,no,4,2,2,1,0,15.0,16.0,17
GP,M,15.0,U,GT3,3,4,other,other,home,1,2.0,0,yes,yes,yes,no,5,5,1,5,0,12.0,12.0,13
GP,F,15.0,U,GT3,4,4,teacher,health,reputation,1,2.0,0,no,yes,yes,no,3,3,3,2,2,14.0,14.0,14
GP,F,15.0,U,GT3,2,1,services,other,reputation,3,3.0,0,yes,yes,yes,no,5,2,2,4,0,10.0,12.0,13
GP,M,15.0,U,LE3,4,4,health,services,course,1,1.0,0,yes,yes,yes,no,4,3,3,5,0,12.0,13.0,12
GP,M,15.0,U,GT3,4,3,teacher,other,course,2,2.0,0,no,yes,yes,no,5,4,3,3,0,12.0,12.0,13
GP,M,15.0,U,GT3,2,2,other,other,home,1,3.0,0,no,yes,yes,yes,4,5,2,3,0,14.0,14.0,15
GP,F,16.0,U,GT3,4,4,health,other,home,1,1.0,0,no,yes,yes,no,4,4,4,2,6,17.0,17.0,17
GP,F,16.0,U,GT3,4,4,services,services,reputation,1,3.0,0,yes,yes,yes,no,3,2,3,2,10,13.0,13.0,14
GP,F,16.0,U,GT3,3,3,other,other,reputation,3,2.0,0,yes,yes,no,no,5,3,2,4,2,13.0,14.0,14
GP,M,17.0,U,GT3,3,2,services,services,course,1,1.0,3,yes,yes,yes,no,5,5,5,5,2,8.0,8.0,7
GP,M,16.0,U,LE3,4,3,health,other,home,1,1.0,0,yes,yes,yes,no,3,1,3,5,6,12.0,12.0,12
GP,M,15.0,U,GT3,4,3,teacher,other,reputation,1,2.0,0,no,yes,yes,no,4,4,1,1,0,12.0,13.0,14
GP,M,15.0,U,GT3,4,4,health,health,other,1,1.0,0,no,yes,yes,no,5,4,2,5,0,11.0,11.5671875,12
GP,M,16.0,U,LE3,4,2,teacher,other,course,1,2.0,0,yes,yes,yes,no,4,5,1,5,0,12.0,11.5671875,14
GP,M,16.0,U,LE3,2,2,other,other,reputation,2,2.0,0,yes,yes,yes,no,5,4,4,5,2,10.0,10.0,10
GP,F,15.0,R,GT3,2,4,services,health,course,1,3.0,0,yes,yes,yes,no,4,3,2,5,2,10.0,11.0,10
